[Subject]	
[Date]	01/01/2007
[Time]	00:56:52
[Channels]	33
[Rate]	500.000000
[Type]	Average
[Points]	751
[Xmin]	-200.00000
[Sweeps]	110
[Accepted]	38
[Rejected]	72
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[     FP1]	[     FP2]	[      F3]	[      F4]	[      C3]	[      C4]	[      P3]	[      P4]	[      O1]	[      O2]	[      F7]	[      F8]	[      T3]	[      T4]	[      T5]	[      T6]	[      CZ]	[      FZ]	[      PZ]	[     FCZ]	[     CPZ]	[     CP3]	[     CP4]	[     FC3]	[     FC4]	[     TP7]	[     TP8]	[     FPZ]	[      OZ]	[     FT7]	[     FT8]	[      A1]	[     BP1]	
[Electrode XUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Electrode YUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Average Data]
    -1.0532	    -1.0100	    -1.5714	    -1.4493	    -1.1814	    -0.6240	    -0.5783	    -0.1724	     0.8902	     0.8944	    -1.6209	    -1.0996	    -1.0180	    -2.8400	    -1.0718	    -0.0891	    -0.6361	    -1.4680	    -0.1456	    -1.2526	    -0.6904	    -0.6570	    -0.3839	    -1.3819	    -1.1459	    -0.9198	    -0.1293	    -0.7636	     0.8340	    -0.4637	    -1.4173	     0.2981	     0.9451	
    -0.8893	    -0.8101	    -1.3966	    -1.3081	    -0.8536	    -0.4742	    -0.2121	     0.0284	     1.2902	     1.2763	    -1.3582	    -0.9443	    -2.0195	    -1.9640	    -0.7048	    -0.0530	    -0.3452	    -1.1911	     0.1932	    -1.0142	    -0.4238	    -0.2986	    -0.2396	    -1.1639	    -1.0204	    -0.6006	    -0.1889	    -0.6311	     1.2190	    -0.4880	    -1.4448	     0.1075	     0.7255	
    -0.8070	    -0.5575	    -1.3879	    -1.1623	    -0.7446	    -0.4327	    -0.0270	     0.0864	     1.4486	     1.4324	    -1.2649	    -0.6322	    -3.4932	    -0.9554	    -0.2530	    -0.1017	    -0.1467	    -1.0147	     0.4065	    -0.8840	    -0.2552	    -0.1056	    -0.2263	    -1.1278	    -0.9765	    -0.1990	    -0.2798	    -0.6013	     1.3516	    -0.6911	    -1.0982	    -0.1615	    -0.0651	
    -0.7137	    -0.3324	    -1.4162	    -0.9615	    -0.8630	    -0.3715	    -0.0882	     0.0048	     1.0933	     1.0818	    -1.2343	    -0.4714	    -3.2046	    -0.0817	     0.1587	    -0.2883	    -0.0887	    -0.8915	     0.4042	    -0.8064	    -0.1712	    -0.1331	    -0.2678	    -1.2188	    -0.8329	     0.1915	    -0.3324	    -0.5621	     1.0049	    -1.1256	    -0.5013	    -0.4721	    -1.2085	
    -0.6454	    -0.2532	    -1.3393	    -0.7231	    -0.9603	    -0.1903	    -0.1854	    -0.0736	     0.5420	     0.5156	    -1.1676	    -0.6173	    -0.8361	     0.7057	     0.5846	    -0.3911	    -0.0707	    -0.7574	     0.3257	    -0.6370	    -0.0928	    -0.1974	    -0.2427	    -1.2737	    -0.5851	     0.5884	    -0.3026	    -0.5291	     0.4904	    -1.5734	    -0.0449	    -0.7105	    -1.9701	
    -0.6258	    -0.2454	    -1.0899	    -0.4102	    -0.7689	     0.2355	    -0.0137	     0.1005	     0.6283	     0.5587	    -1.0876	    -0.8000	     1.5528	     1.5613	     1.0661	    -0.1487	     0.1505	    -0.4806	     0.5438	    -0.2331	     0.1362	    -0.0147	     0.0435	    -1.1098	    -0.1428	     1.0197	    -0.0846	    -0.5260	     0.5963	    -1.7672	     0.1135	    -0.7983	    -2.2830	
    -0.6344	    -0.2477	    -0.7048	    -0.1262	    -0.3376	     0.7202	     0.3557	     0.4275	     1.1561	     1.0661	    -1.0100	    -0.8972	     2.7159	     2.2578	     1.5108	     0.1956	     0.5411	    -0.1065	     1.0237	     0.2720	     0.4977	     0.3532	     0.4521	    -0.7223	     0.3497	     1.4495	     0.1805	    -0.4962	     1.1092	    -1.5774	     0.1104	    -0.7826	    -2.5159	
    -0.6525	    -0.3599	    -0.3911	    -0.0972	     0.0389	     0.7971	     0.5769	     0.4754	     1.2267	     1.1477	    -0.9065	    -1.0729	     2.4461	     2.1958	     1.7390	     0.2042	     0.7505	     0.1163	     1.2841	     0.5355	     0.6875	     0.5790	     0.5619	    -0.3208	     0.4399	     1.6879	     0.2244	    -0.4868	     1.1641	    -1.2284	     0.0304	    -0.6485	    -2.3363	
    -0.5905	    -0.4838	    -0.1849	    -0.2706	     0.3236	     0.5030	     0.6734	     0.2926	     1.0667	     1.0356	    -0.6688	    -1.2831	     1.1246	     1.4045	     1.5571	     0.0513	     0.7363	     0.1508	     1.2920	     0.5465	     0.6758	     0.6920	     0.3808	     0.0110	     0.1505	     1.5044	     0.0927	    -0.4444	     1.0285	    -0.9821	    -0.0410	    -0.4399	    -1.6979	
    -0.3160	    -0.4273	     0.0685	    -0.3811	     0.6483	     0.3312	     0.8694	     0.2628	     1.1788	     1.2003	    -0.2594	    -1.2909	     0.4909	     0.6037	     1.0967	     0.1626	     0.7599	     0.2096	     1.3461	     0.5771	     0.7267	     0.9037	     0.3133	     0.3741	    -0.0471	     1.0127	     0.0017	    -0.2201	     1.1798	    -0.5084	    -0.0802	    -0.2807	    -0.7191	
