[Subject]	
[Date]	01/01/2007
[Time]	00:56:52
[Channels]	33
[Rate]	500.000000
[Type]	Average
[Points]	751
[Xmin]	-200.00000
[Sweeps]	110
[Accepted]	40
[Rejected]	70
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[     FP1]	[     FP2]	[      F3]	[      F4]	[      C3]	[      C4]	[      P3]	[      P4]	[      O1]	[      O2]	[      F7]	[      F8]	[      T3]	[      T4]	[      T5]	[      T6]	[      CZ]	[      FZ]	[      PZ]	[     FCZ]	[     CPZ]	[     CP3]	[     CP4]	[     FC3]	[     FC4]	[     TP7]	[     TP8]	[     FPZ]	[      OZ]	[     FT7]	[     FT8]	[      A1]	[     BP1]	
[Electrode XUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Electrode YUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Average Data]
     0.5575	     0.7089	     0.6381	     0.7896	     0.9165	     0.9471	     0.5549	     0.9854	     1.5062	     1.3672	     0.3187	    -0.0653	    -1.8036	     0.1377	     0.4561	     1.1474	     0.7939	     0.7874	     1.0916	     0.8820	     0.8820	     0.6135	     0.9403	     0.9471	     0.8108	     0.4943	     0.8167	     0.5069	     1.4426	     1.9638	     0.8350	     0.2567	     1.6647	
     0.7609	     1.0337	     0.7848	     0.9125	     0.9359	     0.8838	     0.5952	     1.0055	     1.8058	     1.6057	     0.4371	     0.2700	    -0.6704	    -0.0933	     0.4270	     1.0885	     0.8498	     0.9059	     1.1497	     0.9796	     0.9289	     0.6232	     0.9201	     1.0506	     0.7676	     0.4571	     0.8443	     0.7706	     1.7198	     2.1285	     0.6264	     0.1598	     0.7886	
     0.6297	     1.0516	     0.6604	     0.8321	     0.7138	     0.7348	     0.4745	     0.9504	     1.7819	     1.6287	     0.3530	     0.6008	     0.5806	    -0.4338	    -0.0968	     0.9030	     0.7768	     0.8299	     1.0178	     0.9021	     0.8030	     0.3997	     0.8009	     0.9508	     0.6231	    -0.0972	     0.6967	     0.7043	     1.7324	     1.7954	     0.2405	     0.1039	    -0.6397	
     0.2862	     0.7782	     0.3274	     0.6220	     0.3018	     0.5411	     0.0960	     0.7589	     1.2373	     1.2003	     0.0594	     0.7193	     1.0961	    -0.7795	    -1.1287	     0.6221	     0.5362	     0.5974	     0.7228	     0.6421	     0.4864	    -0.0682	     0.6236	     0.6379	     0.4361	    -1.1455	     0.5440	     0.4056	     1.2206	     1.3469	    -0.1686	     0.1889	    -1.8124	
     0.0948	     0.5219	     0.0681	     0.4729	    -0.0357	     0.3988	    -0.3555	     0.5450	     0.4445	     0.4851	    -0.1790	     0.5911	    -0.0811	    -0.7974	    -2.1405	     0.3740	     0.2851	     0.4320	     0.4128	     0.4044	     0.1980	    -0.5249	     0.4925	     0.3831	     0.3176	    -2.1223	     0.5209	     0.2163	     0.4420	     1.4549	    -0.4137	     0.2895	    -2.1760	
     0.1320	     0.4041	    -0.0183	     0.4126	    -0.2324	     0.3302	    -0.7258	     0.4087	    -0.2022	    -0.1475	    -0.2394	     0.3289	    -2.1046	    -0.8317	    -2.5636	     0.2764	     0.1390	     0.3590	     0.1901	     0.2911	     0.0513	    -0.8297	     0.4202	     0.2549	     0.2565	    -2.4919	     0.5522	     0.2230	    -0.2025	     1.9519	    -0.4927	     0.3036	    -1.6791	
     0.2252	     0.3445	    -0.0578	     0.3642	    -0.3926	     0.2773	    -0.9337	     0.3640	    -0.4659	    -0.3918	    -0.2647	     0.1612	    -3.5120	    -1.1140	    -2.4213	     0.2287	     0.0936	     0.3099	     0.1424	     0.2554	     0.0140	    -0.9727	     0.3420	     0.1178	     0.2177	    -2.3212	     0.5313	     0.2685	    -0.4841	     1.9869	    -0.4279	     0.2120	    -0.9228	
     0.3012	     0.3423	    -0.1599	     0.3709	    -0.5610	     0.2572	    -0.9590	     0.3461	    -0.2469	    -0.1661	    -0.3832	     0.1888	    -4.3637	    -0.8503	    -2.0436	     0.0819	     0.1316	     0.3076	     0.2772	     0.3001	     0.0788	    -0.9824	     0.2965	    -0.0893	     0.2550	    -1.9554	     0.4226	     0.3147	    -0.2770	     1.0854	    -0.0926	     0.0965	    -0.6539	
     0.3652	     0.4734	    -0.2910	     0.5013	    -0.7867	     0.3362	    -0.9635	     0.3394	     0.0377	     0.1058	    -0.5389	     0.3236	    -4.6699	     0.4774	    -1.5265	    -0.1021	     0.2292	     0.3695	     0.4493	     0.3940	     0.2174	    -0.9817	     0.3412	    -0.3627	     0.3936	    -1.4920	     0.2571	     0.3862	     0.0009	    -0.4860	     0.4580	     0.0153	    -0.9057	
     0.3943	     0.6448	    -0.4028	     0.7143	    -1.0572	     0.5225	    -1.0291	     0.3573	    -0.0748	    -0.0432	    -0.7140	     0.4577	    -3.8972	     1.9459	    -0.7859	    -0.0790	     0.3372	     0.4335	     0.5320	     0.4759	     0.3649	    -1.0144	     0.4783	    -0.6689	     0.5910	    -0.8103	     0.2452	     0.4391	    -0.1265	    -2.0923	     0.9810	    -0.0026	    -1.1851	
